StartDate	EndDate	Status	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	informed_consent	group_sorting_1	group_sorting_2	group_sorting_3	group_sorting_4	group_sorting_5	control_hypothesis	control_design	control_analysis	control_rdm	control_workflow	control_attention	control_collab	control_preparatory	control_duration	control_stress	control_qrp	prereg_hypothesis	prereg_design	prereg_analysis	prereg_rmd	prereg_workflow	prereg_attention	prereg_collab	prereg_preparatory	prereg_duration	prereg_stress	prereg_qrp	rr_hypothesis	rr_design	rr_analysis	rr_rmd	rr_workflow	rr_attention	rr_collab	rr_preparatory	rr_duration	rr_stress	rr_qrp	other_hypothesis	other_desing	other_analysis	other_rdm	other_workflow	other_attention	other_collab	other_preparatory	other_duration	other_stress	other_qrp	planning	recommend	research_type	research_type_6_TEXT	field	group	comment	changed_comment
2020-03-18 18:47:04	2020-03-18 18:50:06	IP Address	100	181	True	2020-03-18 18:50:06	R_ulG4N2pnjT2hb5n	email	EN	Yes	Yes	No	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	6	"7
Got more thought-through"	6	"7
Got more thought-through"	"4
Four"	"4
Did not change"	"7
Improved"	3	5	Strongly Agree	Sometimes	Agree	Hypothesis testing	NA	Social psychology	other	NA	NA
2020-03-18 22:05:13	2020-03-18 22:15:14	IP Address	100	600	True	2020-03-18 22:15:14	R_Q3PjJyMetbdGALv	email	EN	Yes	No	No	Yes	No	No	"4
Would not change"	"4
Would not change"	5	"4
Would not change"	"4
Would not change"	"4
Four"	"4
Would not change"	"4
Would not change"	3	2	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	cognitive psychology	control	In my field we ask very clear hypothesis driven questions and replicate our studies frequently. I will run registered reports only because it has become a standard in psychology, not because I believe it would improve my research in any meaningful way, I know that this is not the case in other labs or sub-fields in psychology, but reviewers do not always differentiate between which research question would benefit from pre-registration.	NA
2020-03-19 03:54:33	2020-03-19 04:11:05	IP Address	100	991	True	2020-03-19 04:11:05	R_2VI3TpI17gu93Az	email	EN	Yes	Yes	No	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	I do not know	"4
Four"	"4
Did not change"	"4
Did not change"	3	"4
Did not change"	Neither Agree or Disagree	Never	Very Strongly Disagree	Hypothesis testing	NA	cognitive psychology	other	"It was not clear to me what the difference between the different types of empirical research is (e.g., if hypothesis testing includes any statistical analysis, how is that different from modelling?). Also, it was not clear what is meant by ""thought-through"" (i.e., does it mean more time allocated, or better thinking allocated, or different kind of thinking allocated?). Also, some clarification would have been useful for what is meant by ""questionable research practices""."	NA
2020-03-19 09:52:55	2020-03-19 09:54:46	IP Address	100	110	True	2020-03-19 09:54:46	R_1LCIHXpDM4JmYcy	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	5	"7
Got more thought-through"	"7
Got more thought-through"	5	"4
Four"	"7
Got better"	5	3	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	Cognitive	prereg	NA	NA
2020-03-19 12:56:55	2020-03-19 12:59:50	IP Address	100	175	True	2020-03-19 12:59:51	R_2c2sEWAeNS2rO1z	email	EN	Yes	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Very Strongly Agree	Always	Agree	Qualitative research	NA	behavioral economics	other	in q1 if someone states NA, than she should be not asked about experiences with PR (q2 I believe...)	NA
2020-03-19 16:12:11	2020-03-19 16:15:08	IP Address	100	177	True	2020-03-19 16:15:08	R_1OZSKOYjuWHBJJf	email	EN	Yes	No	No	Yes	Yes	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	Not applicable	6	"4
Did not change"	5	"4
Four"	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Very Strongly Agree	Frequently	Very Strongly Agree	Modeling	NA	Personality Psychology	other	NA	NA
2020-03-22 22:48:31	2020-03-22 22:50:48	IP Address	100	136	True	2020-03-22 22:50:48	R_RIkVUncLP2JZldf	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Four"	6	6	2	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-03-24 16:38:29	2020-03-24 16:40:29	IP Address	100	120	True	2020-03-24 16:40:36	R_87Bopwu51eBDLLX	email	EN	Yes	No	No	Yes	No	No	I do not know	"4
Would not change"	"4
Would not change"	"4
Would not change"	I do not know	I do not know	"4
Would not change"	"4
Would not change"	I do not know	I do not know	I do not know	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Neither Agree or Disagree	Hypothesis testing	NA	Addictions	control	NA	NA
2020-05-15 13:32:39	2020-05-15 13:35:33	IP Address	100	174	True	2020-05-15 13:35:34	R_ZvMTnZCgpzL8OJP	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	5	I do not know	5	"4
Four"	"4
Did not change"	5	I do not know	I do not know	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-05-15 13:33:54	2020-05-15 13:35:56	IP Address	100	122	True	2020-05-15 13:35:56	R_3e3TxeUCG3qXRga	email	EN	Yes	No	No	Yes	No	No	6	"7
Would get more thought-through"	"4
Would not change"	"4
Would not change"	5	"4
Four"	"4
Would not change"	6	6	"4
Would not change"	Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	Personality psychology	control	NA	NA
2020-05-15 13:34:49	2020-05-15 13:37:12	IP Address	100	143	True	2020-05-15 13:37:12	R_32PKTRWoGs5WTs7	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	"4
Four"	"7
Got better"	"4
Did not change"	2	"4
Did not change"	Neither Agree or Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Agree	Hypothesis testing	NA	language	prereg	NA	NA
2020-05-15 13:34:56	2020-05-15 13:37:15	IP Address	100	139	True	2020-05-15 13:37:16	R_1InN4U4zJmenBZs	email	EN	Yes	Yes	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"4
Did not change"	"7
Got more thought-through"	"4
Did not change"	5	"4
Four"	"4
Did not change"	5	"1
Was longer"	"1
Was increased"	Strongly Agree	Frequently	Strongly Agree	Hypothesis testing	NA	social psychology	other	NA	NA
2020-05-15 13:40:04	2020-05-15 13:41:48	IP Address	100	104	True	2020-05-15 13:41:48	R_33EEL7uqnXRPHff	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	Not applicable	"4
Four"	"4
Did not change"	"4
Did not change"	"1
Was longer"	"1
Was increased"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Agree	Hypothesis testing	NA	experimental psychology	prereg	NA	NA
2020-05-15 13:34:11	2020-05-15 13:41:58	IP Address	100	467	True	2020-05-15 13:41:59	R_6stmvjaMbL97rZ7	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	5	5	5	I do not know	"4
Four"	"4
Did not change"	"7
Improved"	I do not know	2	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	clinical psychology and methodology	prereg	I strongly recommend preregistration with a special attention to ethical issues (such as anonymity). I believe that preregistering the theoretical background, hypothesis, data analysis methods, outliers management, power estimation (a priori) are very important and improve the quality of scientific research. It is time consuming and not always easy to achieve but when it is done you might regain the time spent before in the data management and publication process after.	NA
2020-05-15 13:40:51	2020-05-15 13:43:37	IP Address	100	166	True	2020-05-15 13:43:38	R_3M3Qpj4Eo9nE907	email	EN	Yes	Yes	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	"4
Did not change"	5	"4
Did not change"	"4
Four"	"4
Did not change"	5	3	3	Agree	Usually	Agree	Estimation	NA	psychometrics	other	NA	NA
2020-05-15 13:36:38	2020-05-15 13:44:36	IP Address	100	478	True	2020-05-15 13:44:36	R_6gRi3xYoRMVrUQ1	email	EN	Yes	Yes	Yes	Yes	Yes	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"1
Got worse"	"1
Was longer"	"1
Was increased"	Very Strongly Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Very Strongly Disagree	Hypothesis testing	NA	Social Psychology	prereg	Preregistration is like the IRB; a well-intended attempt to solve a real problem (research SHOULD be ethical! research SHOULD be rigorous!) that in the end only adds more pointless bureaucracy without actually achieving its intended purpose. Does anyone actually think the IRB actually makes social science research more ethical? Or does it just add increasing administrative paperwork and bureaucratic hoops (at best) and active attempts by IRB’s to overreach and suppress research (at worst)? Preregistration is the same. The intention is good. In practice it’s a lot of time, and bureaucratic paperwork, with little obvious payoff - see for instance recent papers showing almost all papers deviate from the preregistration, often without disclosing. It’s ironic that psychologists came up with such an inefficient bureaucratic poorly thought out administrative solution to what’s really a scientific problem. And I say this as someone who has extensive experience with preregistration and open science - I’ll try any proposed reforms, I have an open mind. This one just isn’t good or feasible or helpful.	NA
2020-05-15 13:44:33	2020-05-15 13:49:34	IP Address	100	301	True	2020-05-15 13:49:35	R_BXGa3YnrcDdFp3H	email	EN	Yes	No	No	Yes	No	No	"4
Would not change"	"4
Would not change"	"4
Would not change"	"4
Would not change"	"4
Would not change"	"4
Four"	3	"4
Would not change"	2	2	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Disagree	Modeling	NA	consumer research	control	In my field, a large share of research is exploratory. I find pre-registration much less relevant than in fields that are primarily experiment and confirmatory.	NA
2020-05-15 13:47:13	2020-05-15 13:50:05	IP Address	100	172	True	2020-05-15 13:50:06	R_T4KU5hayr0KqqGd	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Four"	"4
Did not change"	3	2	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	Clinical health psychology	prereg	One of the things I don't think these questions capture is different practices/thoughts about primary data collected by a PI and secondary data analysis of publicly-available data.	NA
2020-05-15 13:48:45	2020-05-15 13:50:50	IP Address	100	125	True	2020-05-15 13:50:50	R_3GdIMXFqBE6p73h	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	6	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Disagree	Modeling	NA	Anesthesiology	prereg	NA	NA
2020-05-15 13:52:08	2020-05-15 13:55:43	IP Address	100	215	True	2020-05-15 13:55:43	R_2wHb8BSRotQuxxT	email	EN	Yes	Yes	Yes	No	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	"7
Got more thought-through"	6	"7
Got more thought-through"	"4
Four"	"4
Did not change"	6	3	"4
Did not change"	Very Strongly Agree	Usually	Very Strongly Agree	Hypothesis testing	NA	methods	other	NA	NA
2020-05-15 13:44:43	2020-05-15 13:56:55	IP Address	100	732	True	2020-05-15 13:56:55	R_PByR9j96rbswu7D	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Very Strongly Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never	Very Strongly Disagree	Hypothesis testing	NA	evolutionary and social neuropsychology	prereg	"I'm afraid I think reregistration is a complete waste of time. It was thought up in a state of paranoia and utter distrust of one's colleagues by people who actually dont understand how real research is actually done, and largely do trivial research. It is based on the incredibly naive view that psychology and the behavioural sciences have strong theory where real predictions can actually be made. They simply dont. Predictions act merely as scapels to help thinking through data in the search for explanations. The most important heuristic feature of research is when your prediction fails because that tells you when you havent really understood how the world works [cf Popper]. At that point, you need to burrow into your data like a terrier to try to figure out what was happening. Preregistration discourages that. It is a sticking plaster for a non-problem and is more likely to impede the growth rather than promote it. It is a pure Emperor's New Clothes phenomenon that has created an illusion of ""science""."	NA
2020-05-15 14:00:02	2020-05-15 14:01:55	IP Address	100	112	True	2020-05-15 14:01:56	R_a5CTfT7qYZ1SldT	email	EN	Yes	No	No	Yes	No	No	5	6	6	5	"4
Would not change"	"4
Four"	2	"7
Would improve"	I do not know	I do not know	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Neither Agree or Disagree	Hypothesis testing	NA	cognitive psychology	control	NA	NA
2020-05-15 14:03:50	2020-05-15 14:05:17	IP Address	100	86	True	2020-05-15 14:05:17	R_2Y9ryxs4KMINRPQ	email	EN	Yes	Yes	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	I do not know	I do not know	"1
Was longer"	I do not know	Agree	Sometimes	Agree	Estimation	NA	affective science	other	NA	NA
2020-05-15 14:02:57	2020-05-15 14:07:14	IP Address	100	257	True	2020-05-15 14:07:14	R_1mUUriJcvEUHLca	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	"1
Was longer"	"1
Was increased"	Strongly Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Frequently	Very Strongly Disagree	Hypothesis testing	NA	Educational psychology	prereg	I my opinion pregistration did not change research practices by people at all beside the fact that it now an additional step you often have to take which increases the workload even more.	NA
2020-05-15 14:06:34	2020-05-15 14:09:00	IP Address	100	146	True	2020-05-15 14:09:00	R_2cdc9msdDybg6C1	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	"4
Did not change"	3	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sometimes	Agree	Hypothesis testing	NA	Social	prereg	NA	NA
2020-05-15 14:09:52	2020-05-15 14:12:34	IP Address	100	162	True	2020-05-15 14:12:34	R_0p1DRwDrIyVS5tT	email	EN	Yes	Yes	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Four"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Strongly Agree	Always	Strongly Agree	Hypothesis testing	NA	Applied cognitive psychology/behaviour change for health	other	NA	NA
2020-05-15 14:11:14	2020-05-15 14:13:26	IP Address	100	131	True	2020-05-15 14:13:26	R_32Wlfw2QwV4nzro	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	6	6	5	5	"4
Four"	"4
Did not change"	6	3	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	moral psychology	prereg	NA	NA
2020-05-15 14:10:44	2020-05-15 14:13:58	IP Address	100	194	True	2020-05-15 14:13:58	R_2c64R6zk91bsmeA	email	EN	Yes	No	No	Yes	No	No	6	6	"7
Would get more thought-through"	"4
Would not change"	6	"4
Four"	"4
Would not change"	5	"4
Would not change"	"4
Would not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Neither Agree or Disagree	Hypothesis testing	NA	personality	control	NA	NA
2020-05-15 14:08:39	2020-05-15 14:14:30	IP Address	100	350	True	2020-05-15 14:14:30	R_bl5kz5H3rSHamOt	email	EN	Yes	Yes	No	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	"4
Did not change"	Not applicable	"4
Did not change"	5	"4
Did not change"	"4
Did not change"	Agree	Sometimes	Agree	Hypothesis testing	NA	cognitive psychology	other	One problem we faced is that there was no easy way of correcting mistakes made during preregistration and continuing.	NA
2020-05-15 14:13:45	2020-05-15 14:16:15	IP Address	100	150	True	2020-05-15 14:16:15	R_3JIrMdQsmI0KSEY	email	EN	Yes	No	No	Yes	No	No	"7
Would get more thought-through"	"4
Would not change"	"7
Would get more thought-through"	"7
Would get more thought-through"	"7
Would get more thought-through"	"4
Four"	"7
Would get better"	6	2	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Occasionally	Agree	Hypothesis testing	NA	Public health	control	NA	NA
2020-05-15 14:13:28	2020-05-15 14:16:57	IP Address	100	209	True	2020-05-15 14:16:57	R_1QKou8njOVlbuxm	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	"7
Got more thought-through"	"4
Did not change"	5	"4
Did not change"	"4
Four"	"4
Did not change"	"7
Improved"	"4
Did not change"	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Agree	Hypothesis testing	NA	Sport psychology	prereg	NA	NA
2020-05-15 14:19:27	2020-05-15 14:22:03	IP Address	100	155	True	2020-05-15 14:22:03	R_3rGsAitUgYNvjKa	email	EN	Yes	No	No	Yes	No	No	5	"4
Would not change"	6	"4
Would not change"	"4
Would not change"	"4
Four"	I do not know	I do not know	"4
Would not change"	3	Very Strongly Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Neither Agree or Disagree	Hypothesis testing	NA	human-robot-interaction	control	NA	NA
2020-05-15 14:19:33	2020-05-15 14:22:11	IP Address	100	157	True	2020-05-15 14:22:11	R_0BZOQBGukJ7gBHz	email	EN	Yes	Yes	Yes	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"4
Did not change"	6	"4
Did not change"	5	"4
Four"	"4
Did not change"	"4
Did not change"	3	3	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Usually	Strongly Agree	Hypothesis testing	NA	social psychology	prereg	NA	NA
2020-05-15 13:58:57	2020-05-15 14:22:59	IP Address	100	1441	True	2020-05-15 14:22:59	R_3n1P9Vz6f3AeJss	email	EN	Yes	No	No	Yes	No	No	5	"4
Would not change"	5	"4
Would not change"	"4
Would not change"	"4
Four"	"4
Would not change"	"4
Would not change"	3	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Agree	Estimation	NA	Personality	control	The value of pre-registration seems to be highest for experiments study designs and more generally for study designs that do not require much data management & building up more complex models. So RCT-style studies should definitely incorporate preregistration as they have done in medical sciences. But I haven't yet seen the value of pre-registration for secondary data analysis or more generally for studies in which you have to examine the structure of the data and variables before you know whether it is feasible to fit more complex statistical models besides ANOVA. Sure, you can include the preliminary analysis in the pre-registration but what's the added value of such pre-registration? And how possible is it to, for instance, to submit the analysis code for such a project already in the pre-registration phase -- this would require skills of clairvoyance from the researchers. Or the researchers would have to carry our research with blinders on, leaving some important aspects of the data unchecked. Also, I am not eager to add pre-registration to the administrative burden that already includes writing research proposals, navigating manuscript submission portals, correctly formatting manuscripts, seeking IRB approval, submitting pre-prints etc. Pre-registration should be developed so that it considers all kinds of relevant psychological research. Otherwise it ends up glorifying some study designs at the expense of others that do not fit the experimental study protocols that are driving the pre-registration idea.	NA
2020-05-15 14:19:10	2020-05-15 14:31:24	IP Address	100	734	True	2020-05-15 14:31:25	R_wLDde3ZxuDHYHIJ	email	EN	Yes	No	No	Yes	No	No	"4
Would not change"	"4
Would not change"	5	"4
Would not change"	"4
Would not change"	"4
Four"	"4
Would not change"	"4
Would not change"	2	2	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Rarely	Neither Agree or Disagree	Hypothesis testing	NA	cognitive psychology	control	Obviously pre-registration can't make things less though through. However, given that I usually replicate my results, at least conceptually, ~2 time per study, I somewhat resent that reviewers now suggest that studies that are not pre-registered are somehow less trustworthy...	NA
2020-05-15 14:34:16	2020-05-15 14:36:48	IP Address	100	151	True	2020-05-15 14:36:48	R_2VImkEUYxthCEqW	email	EN	Yes	Yes	No	Yes	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"4
Did not change"	"4
Did not change"	"4
Did not change"	5	"4
Did not change"	"4
Four"	"4
Did not change"	3	3	3	Disagree	Occasionally	Neither Agree or Disagree	Hypothesis testing	NA	Social	other	NA	NA
2020-05-15 14:37:55	2020-05-15 14:44:22	IP Address	100	386	True	2020-05-15 14:44:22	R_w5UK0xElA4EgdC9	email	EN	Yes	Yes	Yes	Yes	No	Yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"7
Got more thought-through"	"7
Got more thought-through"	"7
Got more thought-through"	"4
Did not change"	"4
Did not change"	"4
Four"	"4
Did not change"	5	3	"4
Did not change"	Agree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Very Strongly Agree	Hypothesis testing	NA	Cognitive Psychology	prereg	Great study!	NA
2020-05-15 14:42:26	2020-05-15 14:46:54	IP Address	100	268	True	2020-05-15 14:46:54	R_0kTv7HPTgFMNGZH	email	EN	Yes	No	No	Yes	No	No	"1
Would get less thought-through"	"1
Would get less thought-through"	"1
Would get less thought-through"	"1
Would get less thought-through"	"1
Would get less thought-through"	"4
Four"	"1
Would get worse"	"1
Would get worse"	"1
Would be longer"	"1
Would be increased"	Very Strongly Disagree	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never	Very Strongly Disagree	Other	quantitative	experimental	control	What makes science great and unique is that researchers function independently, free of top-down doctrinaire theories as to how research should be done.	NA
